,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,BTCUSDT,-2780.16,-5.901,45399.2353513,47114.47,44331.63,0.000925,44331.63,1.614822,44331.64,0.156283,47111.79,47557.14,43556.98,76575.880451,3476486418.8281026,1614438472560.0,1614524872560.0,673720670.0,675513670.0,1793001.0
1,BTCUSDT,-2803.24,-5.95,45399.08333706,47112.61,44309.4,0.017183,44307.14,0.062245,44310.29,0.057907,47112.64,47557.14,43556.98,76576.15113,3476487066.7818594,1614438483487.0,1614524883487.0,673720792.0,675513829.0,1793038.0
2,BTCUSDT,-3303.67,-6.987,45382.89931359,47285.38,43981.71,0.006,43981.7,0.328418,43981.71,0.006,47285.38,47557.14,43556.98,76844.021412,3487404486.5921016,1614439085423.0,1614525485423.0,673730704.0,675526104.0,1795401.0
3,BTCUSDT,-3301.61,-6.982,45382.87568422,47288.27,43986.67,0.034144,43986.67,0.6523,43986.68,0.000332,47288.28,47557.14,43556.98,76843.432432,3487375941.2098517,1614439086339.0,1614525486339.0,673730717.0,675526118.0,1795402.0
4,BTCUSDT,-3313.98,-7.008,45382.83684286,47288.28,43974.29,0.019447,43965.19,0.022305,43974.29,0.035149,47288.27,47557.14,43556.98,76845.320203,3487458628.910244,1614439087421.0,1614525487421.0,673730725.0,675526176.0,1795452.0
5,BTCUSDT,-3324.02,-7.029,45382.82863676,47288.17,43964.14,0.001075,43965.85,0.026389,43966.39,0.002287,47288.16,47557.14,43556.98,76845.345426,3487459143.001139,1614439088407.0,1614525488407.0,673730731.0,675526189.0,1795459.0
6,BTCUSDT,-3327.86,-7.037,45382.80415452,47292.91,43965.56,0.003,43965.55,0.120066,43965.56,0.594178,47293.42,47557.14,43556.98,76846.109272,3487491927.1283684,1614439089426.0,1614525489426.0,673730755.0,675526228.0,1795474.0
7,BTCUSDT,-3332.72,-7.044,45382.66917191,47310.17,43977.45,0.002952,43974.19,0.008185,43976.69,0.4,47310.17,47557.14,43556.98,76842.874633,3487334757.6880345,1614439090384.0,1614525490384.0,673730801.0,675526249.0,1795449.0
8,BTCUSDT,-3332.51,-7.045,45382.66067176,47304.84,43972.33,0.022619,43965.71,0.100552,43972.28,0.096922,47304.84,47557.14,43556.98,76842.756981,3487328765.151467,1614439091403.0,1614525491403.0,673730816.0,675526261.0,1795446.0
9,BTCUSDT,-3352.21,-7.086,45382.65638416,47310.17,43957.95,0.006,43957.94,0.560974,43957.95,0.394,47310.16,47557.14,43556.98,76842.648478,3487323511.52616,1614439092393.0,1614525492393.0,673730827.0,675526270.0,1795444.0
10,BTCUSDT,-3359.87,-7.102,45382.64376904,47310.16,43950.3,0.001934,43950.3,0.71427,43950.31,0.087464,47310.17,47557.14,43556.98,76843.038688,3487340250.9077234,1614439093402.0,1614525493402.0,673730832.0,675526296.0,1795465.0
11,BTCUSDT,-3371.4,-7.126,45382.62366313,47310.17,43938.76,0.132953,43938.75,0.698538,43938.76,0.286258,47310.16,47557.14,43556.98,76843.883451,3487377043.4700375,1614439094363.0,1614525494363.0,673730844.0,675526333.0,1795490.0
12,BTCUSDT,-3352.65,-7.087,45382.56531105,47304.55,43952.1,0.129712,43947.23,0.043081,43952.1,0.120288,47304.75,47557.14,43556.98,76844.042633,3487379783.5575767,1614439095400.0,1614525495400.0,673730861.0,675526358.0,1795498.0
13,BTCUSDT,-3378.35,-7.141,45382.54189841,47307.36,43929.01,0.029497,43929.01,0.028793,43933.59,0.25,47307.36,47557.14,43556.98,76845.127275,3487427208.2466874,1614439096375.0,1614525496375.0,673730869.0,675526425.0,1795557.0
14,BTCUSDT,-3381.39,-7.147,45382.52472515,47310.17,43928.77,0.060283,43928.86,0.248575,43933.29,0.259189,47310.16,47557.14,43556.98,76845.90085,3487460995.3518977,1614439097403.0,1614525497403.0,673730874.0,675526443.0,1795570.0
15,BTCUSDT,-3369.6,-7.123,45382.5118404,47303.51,43933.91,0.001948,43935.47,0.52,43935.48,0.006771,47303.51,47557.14,43556.98,76846.207712,3487473931.3797565,1614439098428.0,1614525498428.0,673730883.0,675526460.0,1795578.0
16,BTCUSDT,-3369.47,-7.123,45382.4292065,47301.25,43931.77,0.002435,43931.77,0.265758,43931.78,0.808287,47301.24,47557.14,43556.98,76850.375778,3487656738.2383595,1614439099427.0,1614525499427.0,673730891.0,675526506.0,1795616.0
17,BTCUSDT,-3388.3,-7.163,45382.34443181,47305.43,43917.13,0.000381,43910.36,0.008197,43917.13,0.007812,47305.43,47557.14,43556.98,76852.339621,3487739347.070614,1614439100415.0,1614525500415.0,673730911.0,675526615.0,1795705.0
18,BTCUSDT,-3403.72,-7.195,45382.27581697,47310.17,43905.55,0.089465,43905.66,0.020677,43912.88,0.007812,47309.27,47557.14,43556.98,76855.191696,3487863507.513917,1614439101398.0,1614525501398.0,673730936.0,675526663.0,1795728.0
19,BTCUSDT,-3408.8,-7.205,45382.24811145,47310.17,43901.37,0.06028,43904.96,0.25,43907.31,0.058767,47310.17,47557.14,43556.98,76856.255299,3487909646.8964396,1614439102350.0,1614525502350.0,673730944.0,675526702.0,1795759.0
20,BTCUSDT,-3409.62,-7.207,45382.17655574,47310.16,43900.52,0.000818,43900.61,0.008198,43909.02,0.05779,47310.14,47557.14,43556.98,76859.833794,3488066547.284245,1614439103425.0,1614525503425.0,673730955.0,675526784.0,1795830.0
21,BTCUSDT,-3397.87,-7.182,45382.13320715,47310.09,43912.23,0.068297,43912.23,0.191703,43912.24,0.531403,47310.1,47557.14,43556.98,76861.817967,3488153261.5224395,1614439104434.0,1614525504434.0,673730965.0,675526853.0,1795889.0
22,BTCUSDT,-3395.33,-7.175,45382.07782238,47321.83,43926.5,0.04389,43916.51,0.037417,43921.42,0.006,47321.83,47557.14,43556.98,76861.704836,3488143870.428263,1614439105422.0,1614525505422.0,673730996.0,675526899.0,1795904.0
23,BTCUSDT,-3410.95,-7.209,45382.06047806,47318.22,43907.27,0.00071,43900.24,0.25,43907.27,0.00529,47318.22,47557.14,43556.98,76862.40672,3488174390.256306,1614439106419.0,1614525506419.0,673731009.0,675526929.0,1795921.0
24,BTCUSDT,-3421.63,-7.231,45382.03493179,47318.09,43896.46,0.060659,43896.46,1.609341,43896.47,0.10117,47318.09,47557.14,43556.98,76863.427657,3488218758.9072194,1614439107414.0,1614525507414.0,673731021.0,675526969.0,1795949.0
25,BTCUSDT,-3410.03,-7.207,45382.02388761,47318.09,43908.06,0.045799,43908.06,0.283597,43908.07,0.406981,47318.09,47557.14,43556.98,76863.593266,3488225425.6855035,1614439108421.0,1614525508421.0,673731037.0,675526997.0,1795961.0
26,BTCUSDT,-3419.03,-7.226,45381.99637057,47318.08,43899.05,0.086333,43899.04,0.008199,43899.05,0.163667,47318.08,47557.14,43556.98,76864.701338,3488273597.1457124,1614439109346.0,1614525509346.0,673731049.0,675527019.0,1795971.0
27,BTCUSDT,-3429.31,-7.247,45381.94859006,47318.08,43888.77,0.007215,43888.77,1.5e-05,43895.51,0.011286,47318.08,47557.14,43556.98,76863.565181,3488218363.4929132,1614439110423.0,1614525510423.0,673731077.0,675527056.0,1795980.0
28,BTCUSDT,-3428.84,-7.247,45381.93772565,47316.84,43888.01,0.023065,43888.0,0.457964,43888.01,0.140212,47316.85,47557.14,43556.98,76863.980296,3488236367.1384115,1614439111192.0,1614525511192.0,673731089.0,675527086.0,1795998.0
29,BTCUSDT,-3404.63,-7.195,45381.86835219,47316.84,43912.22,0.000433,43912.22,0.259567,43912.23,0.045478,47316.85,47557.14,43556.98,76866.730644,3488355850.74898,1614439112411.0,1614525512411.0,673731104.0,675527122.0,1796019.0
30,BTCUSDT,-3401.71,-7.189,45381.83021224,47315.37,43913.66,0.016719,43913.66,0.243281,43918.68,0.00861,47315.37,47557.14,43556.98,76867.106145,3488369959.9783945,1614439113428.0,1614525513428.0,673731123.0,675527154.0,1796032.0
31,BTCUSDT,-3365.07,-7.112,45381.69495931,47315.37,43950.3,0.00415,43931.36,0.5,43951.27,0.054705,47315.37,47557.14,43556.98,76873.795588,3488663141.73907,1614439114426.0,1614525514426.0,673731134.0,675527241.0,1796108.0
32,BTCUSDT,-3357.1,-7.095,45381.55825867,47315.38,43958.28,0.226877,43958.27,1.733193,43958.28,0.178123,47315.38,47557.14,43556.98,76881.02832,3488980865.6908035,1614439115429.0,1614525515429.0,673731143.0,675527341.0,1796199.0
33,BTCUSDT,-3359.83,-7.101,45381.48200922,47315.37,43955.54,0.012919,43954.43,0.029303,43954.44,1.897039,47315.37,47557.14,43556.98,76884.955907,3489153243.2735553,1614439116422.0,1614525516422.0,673731148.0,675527390.0,1796243.0
34,BTCUSDT,-3369.95,-7.122,45381.46790244,47315.36,43945.42,0.018283,43945.42,0.771232,43945.43,0.008189,47315.37,47557.14,43556.98,76885.705358,3489186169.860914,1614439117410.0,1614525517410.0,673731150.0,675527409.0,1796260.0
35,BTCUSDT,-3350.04,-7.082,45381.322987,47310.17,43954.96,0.06536,43954.95,0.096596,43954.96,0.18464,47305.0,47557.14,43556.98,76891.849152,3489453841.434432,1614439118391.0,1614525518391.0,673731164.0,675527446.0,1796283.0
36,BTCUSDT,-3364.06,-7.113,45381.26151612,47294.91,43930.85,0.028454,43924.56,0.119821,43924.57,0.089476,47294.91,47557.14,43556.98,76891.833614,3489448409.6909122,1614439119436.0,1614525519436.0,673731202.0,675527481.0,1796280.0
37,BTCUSDT,-3371.15,-7.127,45381.25374236,47294.92,43926.96,0.003864,43926.96,5e-06,43928.67,0.042891,47298.11,47557.14,43556.98,76891.999129,3489455323.230367,1614439120447.0,1614525520447.0,673731212.0,675527521.0,1796310.0
38,BTCUSDT,-3342.01,-7.067,45381.24821515,47291.08,43948.6,0.020564,43950.98,0.52,43950.99,1.538921,47290.61,47557.14,43556.98,76892.00507,3489455167.8421807,1614439121386.0,1614525521386.0,673731229.0,675527539.0,1796311.0
39,BTCUSDT,-3343.49,-7.07,45381.21491196,47288.2,43949.7,0.009488,43949.69,1.346438,43949.7,0.048796,47293.19,47557.14,43556.98,76892.107395,3489457250.725722,1614439122442.0,1614525522442.0,673731254.0,675527559.0,1796306.0
40,BTCUSDT,-3343.49,-7.068,45381.13324067,47303.09,43959.6,0.007716,43959.6,1.063377,43959.61,0.00028,47303.09,47557.14,43556.98,76895.118265,3489587607.541337,1614439123450.0,1614525523450.0,673731274.0,675527621.0,1796348.0
41,BTCUSDT,-3338.85,-7.056,45381.07171306,47316.63,43978.82,0.005881,43978.82,0.123621,43982.1,0.52,47317.67,47557.14,43556.98,76895.039202,3489579288.4047265,1614439124438.0,1614525524438.0,673731321.0,675527675.0,1796355.0
42,BTCUSDT,-3350.91,-7.083,45381.06244822,47308.16,43959.61,0.020766,43959.61,0.243681,43959.62,0.287027,47310.52,47557.14,43556.98,76895.512954,3489600075.353242,1614439125433.0,1614525525433.0,673731327.0,675527699.0,1796373.0
43,BTCUSDT,-3370.71,-7.125,45381.03415702,47313.34,43937.5,0.079662,43937.5,0.125016,43941.92,0.030311,47308.21,47557.14,43556.98,76896.709851,3489652216.310503,1614439126441.0,1614525526441.0,673731335.0,675527727.0,1796393.0
44,BTCUSDT,-3365.41,-7.113,45380.98690151,47312.09,43946.68,0.07299,43941.81,0.061871,43946.68,0.89201,47312.09,47557.14,43556.98,76898.925541,3489749132.7159853,1614439127442.0,1614525527442.0,673731347.0,675527745.0,1796399.0
45,BTCUSDT,-3380.3,-7.145,45380.94524115,47308.37,43932.31,0.020342,43928.98,0.102788,43932.29,0.271048,47312.61,47557.14,43556.98,76900.02984,3489796043.211991,1614439128440.0,1614525528440.0,673731370.0,675527790.0,1796421.0
46,BTCUSDT,-3371.95,-7.128,45380.89410757,47308.37,43936.42,0.022789,43939.92,0.118668,43944.12,0.25,47308.37,47557.14,43556.98,76898.537088,3489724368.6176276,1614439129444.0,1614525529444.0,673731396.0,675527800.0,1796405.0
47,BTCUSDT,-3336.9,-7.054,45380.80616377,47305.9,43971.0,0.138729,43959.45,1.765967,43970.9,0.021003,47307.9,47557.14,43556.98,76902.635634,3489903601.189202,1614439130458.0,1614525530458.0,673731401.0,675527893.0,1796493.0
48,BTCUSDT,-3341.46,-7.064,45380.7410715,47305.61,43964.14,0.213548,43964.13,0.26,43969.94,0.008183,47305.6,47557.14,43556.98,76905.320194,3490020422.745014,1614439131430.0,1614525531430.0,673731417.0,675527937.0,1796521.0
49,BTCUSDT,-3357.13,-7.097,45380.68873363,47305.61,43948.48,0.003193,43952.61,0.26,43952.63,0.768294,47305.61,47557.14,43556.98,76904.062015,3489959300.654514,1614439132449.0,1614525532449.0,673731443.0,675527963.0,1796521.0
50,BTCUSDT,-3360.61,-7.104,45380.66606189,47305.61,43945.0,0.060064,43944.99,0.26,43945.0,0.402776,47305.61,47557.14,43556.98,76903.967716,3489953277.754163,1614439133394.0,1614525533394.0,673731468.0,675527970.0,1796503.0
51,BTCUSDT,-3346.23,-7.074,45380.64532446,47305.5,43959.37,0.001677,43959.37,0.107523,43959.38,0.439632,47305.6,47557.14,43556.98,76903.732995,3489941031.1731324,1614439134416.0,1614525534416.0,673731500.0,675527986.0,1796487.0
52,BTCUSDT,-3362.28,-7.107,45380.62770917,47312.62,43950.34,0.037636,43950.13,0.008189,43950.29,0.25,47312.62,47557.14,43556.98,76903.890699,3489946833.197667,1614439135385.0,1614525535385.0,673731517.0,675528010.0,1796494.0
53,BTCUSDT,-3362.76,-7.108,45380.59846062,47305.99,43947.12,0.01424,43947.12,0.23576,43947.13,0.34141,47309.88,47557.14,43556.98,76904.662161,3489979593.277832,1614439136873.0,1614525536873.0,673731548.0,675528055.0,1796508.0
54,BTCUSDT,-3372.41,-7.128,45380.58551263,47310.26,43937.84,0.003714,43937.85,0.008192,43937.86,2.08837,47310.25,47557.14,43556.98,76904.769454,3489983466.536111,1614439137457.0,1614525537457.0,673731552.0,675528073.0,1796522.0
55,BTCUSDT,-3372.74,-7.13,45380.5271569,47302.19,43929.46,0.004031,43926.71,0.202813,43927.26,0.52,47302.2,47557.14,43556.98,76905.719467,3490022090.7928276,1614439138450.0,1614525538450.0,673731563.0,675528121.0,1796559.0
56,BTCUSDT,-3357.5,-7.098,45380.47714726,47305.35,43947.13,0.132731,43947.13,2.235852,43947.14,0.05353,47304.63,47557.14,43556.98,76906.127392,3490036756.596671,1614439139457.0,1614525539457.0,673731572.0,675528153.0,1796582.0
57,BTCUSDT,-3349.0,-7.08,45380.46188249,47301.68,43954.56,0.011375,43954.87,0.567538,43960.76,0.03472,47303.56,47557.14,43556.98,76906.741898,3490063469.209017,1614439140453.0,1614525540453.0,673731585.0,675528186.0,1796602.0
58,BTCUSDT,-3338.6,-7.058,45380.45419898,47304.03,43962.94,0.065516,43963.52,4.652571,43963.53,0.000228,47301.54,47557.14,43556.98,76906.968342,3490073154.4262953,1614439141465.0,1614525541465.0,673731594.0,675528209.0,1796616.0
59,BTCUSDT,-3315.31,-7.009,45380.43843715,47301.54,43986.22,0.015241,43986.22,0.574836,43986.23,0.204648,47301.53,47557.14,43556.98,76907.635248,3490102206.718837,1614439142890.0,1614525542890.0,673731602.0,675528251.0,1796650.0
60,BTCUSDT,-3310.54,-6.999,45380.40447535,47301.54,43990.99,0.002295,43990.98,0.26,43990.99,0.312705,47301.53,47557.14,43556.98,76906.806034,3490061964.730363,1614439143395.0,1614525543395.0,673731611.0,675528274.0,1796664.0
61,BTCUSDT,-3284.06,-6.944,45380.31451288,47290.89,44006.82,0.000479,44006.82,0.259521,44008.2,0.337517,47290.88,47557.14,43556.98,76909.095311,3490158934.1139684,1614439144457.0,1614525544457.0,673731631.0,675528336.0,1796706.0
62,BTCUSDT,-3282.01,-6.94,45380.29981683,47290.67,44006.44,0.001137,44005.93,0.252313,44006.44,0.003408,47288.45,47557.14,43556.98,76909.774974,3490188647.1652207,1614439145322.0,1614525545322.0,673731642.0,675528360.0,1796719.0
63,BTCUSDT,-3277.02,-6.929,45380.24996551,47294.46,44014.49,0.054964,44014.49,0.345036,44014.5,0.050222,47291.51,47557.14,43556.98,76911.468827,3490261680.5837326,1614439146448.0,1614525546448.0,673731664.0,675528397.0,1796734.0
64,BTCUSDT,-3270.21,-6.915,45380.21139871,47290.17,44019.95,0.00817,44019.95,6e-06,44021.74,0.25,47290.16,47557.14,43556.98,76913.624786,3490356552.2298865,1614439147452.0,1614525547452.0,673731667.0,675528450.0,1796784.0
65,BTCUSDT,-3250.24,-6.874,45380.1146998,47286.19,44035.95,0.007824,44030.52,0.449503,44035.94,0.008176,47286.19,47557.14,43556.98,76918.95433,3490590970.0843115,1614439148455.0,1614525548455.0,673731682.0,675528495.0,1796814.0
66,BTCUSDT,-3243.09,-6.858,45380.06543682,47286.19,44043.11,0.008597,44043.11,0.007641,44043.4,1.009796,47286.2,47557.14,43556.98,76921.575893,3490706147.527509,1614439149457.0,1614525549457.0,673731688.0,675528567.0,1796880.0
67,BTCUSDT,-3238.18,-6.848,45380.04563134,47286.19,44048.01,0.000246,44048.01,0.519754,44048.02,1.257599,47286.19,47557.14,43556.98,76922.699759,3490755625.1489534,1614439150483.0,1614525550483.0,673731693.0,675528620.0,1796928.0
68,BTCUSDT,-3233.93,-6.839,45380.01068159,47288.4,44054.48,0.001072,44054.48,0.057218,44054.49,0.26,47288.41,47557.14,43556.98,76923.673103,3490797107.0810885,1614439151465.0,1614525551465.0,673731706.0,675528648.0,1796943.0
69,BTCUSDT,-3214.34,-6.798,45379.92534767,47275.86,44070.8,0.004013,44070.8,0.098263,44074.81,1.0,47285.14,47557.14,43556.98,76925.176333,3490858759.347984,1614439152467.0,1614525552467.0,673731748.0,675528710.0,1796963.0
70,BTCUSDT,-3218.5,-6.807,45379.89240543,47284.72,44066.23,0.048208,44062.16,0.060325,44066.68,0.26,47284.73,47557.14,43556.98,76926.641119,3490922697.0910516,1614439153477.0,1614525553477.0,673731760.0,675528749.0,1796990.0
71,BTCUSDT,-3231.35,-6.834,45379.88072974,47284.72,44053.37,0.002423,44052.96,0.5,44053.37,0.257577,47284.72,47557.14,43556.98,76927.239394,3490948948.567827,1614439154463.0,1614525554463.0,673731769.0,675528786.0,1797018.0
72,BTCUSDT,-3205.52,-6.78,45379.77605134,47276.77,44075.59,0.0004,44075.58,2.311827,44075.59,0.349521,47281.11,47557.14,43556.98,76933.088615,3491206332.286345,1614439155428.0,1614525555428.0,673731782.0,675528866.0,1797085.0
73,BTCUSDT,-3186.28,-6.739,45379.75409244,47281.11,44094.83,0.001445,44094.83,0.568037,44094.84,0.0004,47281.11,47557.14,43556.98,76933.646133,3491229942.950353,1614439156470.0,1614525556470.0,673731792.0,675528909.0,1797118.0
74,BTCUSDT,-3161.14,-6.687,45379.72914403,47277.85,44111.11,0.000601,44104.93,0.52,44111.11,0.048334,47272.25,47557.14,43556.98,76934.864752,3491283324.178177,1614439157455.0,1614525557455.0,673731805.0,675528971.0,1797167.0
75,BTCUSDT,-3169.0,-6.703,45379.71508394,47279.99,44106.63,0.000246,44106.63,0.02226,44107.84,0.05,47275.63,47557.14,43556.98,76935.372228,3491305271.583437,1614439158469.0,1614525558469.0,673731821.0,675529002.0,1797182.0
76,BTCUSDT,-3162.42,-6.69,45379.61573631,47270.68,44108.3,0.007045,44108.19,0.036926,44109.25,0.25,47270.72,47557.14,43556.98,76931.676615,3491129922.738634,1614439159461.0,1614525559461.0,673731880.0,675529022.0,1797143.0
77,BTCUSDT,-3173.0,-6.713,45379.59023359,47269.91,44096.93,0.21622,44096.92,0.007424,44096.93,0.271695,47269.93,47557.14,43556.98,76932.142922,3491149121.5921926,1614439160866.0,1614525560866.0,673731896.0,675529066.0,1797171.0
78,BTCUSDT,-3168.32,-6.704,45379.56390162,47260.17,44091.84,0.00186,44091.83,2.424,44091.84,8e-06,47260.16,47557.14,43556.98,76931.510436,3491118393.878444,1614439161454.0,1614525561454.0,673731905.0,675529085.0,1797181.0
79,BTCUSDT,-3180.22,-6.729,45379.53503607,47260.17,44079.94,0.090929,44074.33,1.794646,44079.08,0.029463,47260.16,47557.14,43556.98,76932.585775,3491164971.592162,1614439162476.0,1614525562476.0,673731919.0,675529131.0,1797213.0
80,BTCUSDT,-3199.45,-6.77,45379.5186995,47260.16,44060.72,0.000246,44060.72,0.006882,44065.58,0.4,47260.17,47557.14,43556.98,76932.433028,3491156783.192286,1614439163481.0,1614525563481.0,673731935.0,675529155.0,1797221.0
81,BTCUSDT,-3218.27,-6.81,45379.48434002,47260.09,44041.82,0.002891,44037.41,0.035507,44041.69,0.045508,47260.09,47557.14,43556.98,76934.036983,3491226926.4844227,1614439164456.0,1614525564456.0,673731946.0,675529207.0,1797262.0
82,BTCUSDT,-3189.42,-6.75,45379.44893136,47250.01,44060.59,0.001826,44060.61,0.067703,44069.16,0.049981,47250.01,47557.14,43556.98,76935.431568,3491287487.851939,1614439165472.0,1614525565472.0,673731963.0,675529256.0,1797294.0
83,BTCUSDT,-3189.76,-6.751,45379.43245137,47246.31,44056.55,0.031356,44051.24,0.10788,44056.55,0.218644,47246.31,47557.14,43556.98,76935.495996,3491289143.663038,1614439166426.0,1614525566426.0,673731993.0,675529273.0,1797281.0
84,BTCUSDT,-3211.21,-6.796,45379.30758095,47246.3,44038.59,0.047401,44028.64,0.017504,44038.59,0.352599,47249.8,47557.14,43556.98,76941.673566,3491559870.5448604,1614439167468.0,1614525567468.0,673732015.0,675529320.0,1797306.0
85,BTCUSDT,-3219.53,-6.814,45379.27751327,47247.16,44028.11,0.004038,44023.8,0.15,44028.12,0.52,47247.64,47557.14,43556.98,76941.637574,3491555923.796227,1614439168481.0,1614525568481.0,673732031.0,675529349.0,1797319.0
86,BTCUSDT,-3206.92,-6.788,45379.22642254,47244.73,44037.81,0.011198,44037.86,0.033748,44042.71,0.4,47244.73,47557.14,43556.98,76942.149452,3491575221.4190664,1614439169467.0,1614525569467.0,673732047.0,675529383.0,1797337.0
87,BTCUSDT,-3221.58,-6.819,45379.1716919,47244.77,44023.19,0.000528,44022.78,0.036005,44029.41,0.061062,47244.77,47557.14,43556.98,76945.210868,3491709934.8483205,1614439170479.0,1614525570479.0,673732056.0,675529418.0,1797363.0
88,BTCUSDT,-3244.67,-6.867,45379.09018677,47249.8,44005.13,0.155055,44005.12,0.32615,44005.13,0.281673,47249.8,47557.14,43556.98,76949.73473,3491908952.1605506,1614439171467.0,1614525571467.0,673732061.0,675529471.0,1797411.0
89,BTCUSDT,-3253.8,-6.887,45379.07429819,47246.26,43990.99,0.016392,43990.98,0.606504,43990.99,0.4,47244.79,47557.14,43556.98,76950.209962,3491929295.1272845,1614439172453.0,1614525572453.0,673732072.0,675529511.0,1797440.0
90,BTCUSDT,-3250.76,-6.881,45379.05374748,47244.78,43994.02,0.00664,43994.76,0.166285,43997.84,0.26,47244.78,47557.14,43556.98,76951.346006,3491979266.346839,1614439173478.0,1614525573478.0,673732075.0,675529553.0,1797479.0
91,BTCUSDT,-3245.94,-6.871,45379.05047637,47240.71,43994.77,0.005717,43994.77,5e-06,43994.78,0.06235,47240.71,47557.14,43556.98,76951.348342,3491979120.6362476,1614439174474.0,1614525574474.0,673732082.0,675529561.0,1797480.0
